"40CrMnSiMoV ,193000000000,0.26,7780,81000000000,1988000000,1945000000,0.0000125,460,44"
"5Cr21Mn9Ni2N ,205000000000,0.265,7730,81000000000,1090000000,598000000,0.0000168,460,44"
"5Cr21Mn9Ni12N ,198000000000,0.27,7730,77600000000,870000000,464000000,0.0000185,460,44"
"20CrNiMo ,208000000000,0.295,7870,80900000000,980000000,785000000,0.0000128,460,44"
"20CrNi2MoA ,210000000000,0.275,7870,85000000000,1150000000,835000000,0.00001072,460,44"
"2Cr12NiMoWV ,216000000000,0.27,7840,84400000000,885000000,735000000,0.00001038,460,44"
"28CrNiMoV# ,214000000000,0.28,7870,82900000000,1150000000,835000000,0.000012,460,44"
"30Cr2Ni4MoV# ,204000000000,0.286,7860,79400000000,1150000000,835000000,0.0000117,460,44"
"40CrNiMo ,209000000000,0.295,7870,80700000000,980000000,800000000,0.0000128,460,44"
"40CrNiMoA ,209000000000,0.295,7870,80700000000,980000000,835000000,0.0000128,460,44"
"45CrNiMoV ,214000000000,0.29,7830,82800000000,1553000000,1374000000,0.00001211,460,44"
"45CrNiMoVA ,214000000000,0.29,7830,82800000000,1470000000,1325000000,0.00001211,460,44"
"10Cr2Mo1# ,201000000000,0.291,7830,79800000000,1250000000,1050000000,0.0000111,0,0"
"10Cr9Mo1VNb# ,220000000000,0.29,7780,85000000000,1250000000,1050000000,0.0000117,0,0"
"10CrMo910# ,216000000000,0.283,7870,84200000000,1250000000,1050000000,0.0000122,0,0"
"12Cr1MoV ,214000000000,0.286,7860,83500000000,450000000,255000000,0.00001303,0,0"
"12Cr1MoVTiB# ,210000000000,0.27,7830,82000000000,1250000000,1050000000,0.00001269,0,0"
"12Cr3MoVSiTiB# ,218000000000,0.27,7780,86100000000,1250000000,1050000000,0.00001216,0,0"
"12CrNi3 ,212000000000,0.31,7840,80900000000,930000000,685000000,0.0000119,0,0"
"12Cr2Ni4 ,207000000000,0.298,7840,79700000000,1080000000,835000000,0.00001289,0,0"
"12Cr2Ni4H ,207000000000,0.298,7840,79700000000,1080000000,835000000,0.00001289,0,0"
"12Cr2Ni4HA ,207000000000,0.298,7840,79700000000,1080000000,835000000,0.00001289,0,0"
"12Cr18Ni9# ,184000000000,0.243,7920,74000000000,1250000000,1050000000,0.0000155,0,0"
"12Cr11MoV# ,217000000000,0.27,7810,85100000000,1250000000,1050000000,0.0000107,0,0"
"12Cr12Mo# ,219000000000,0.31,7750,79000000000,1250000000,1050000000,0.0000104,0,0"
"1Cr13 ,216000000000,0.28,7770,84100000000,540000000,345000000,0.0000113,0,0"
"1Cr18Ni9 ,184000000000,0.243,7920,74000000000,520000000,250000000,0.0000155,0,0"
"18Cr2Ni4W ,202000000000,0.27,7910,79400000000,1039000000,952000000,0.0000124,0,0"
"18Cr2Ni4WA ,202000000000,0.27,7910,79400000000,1175000000,835000000,0.0000124,0,0"
"20CrMoVNbTiB# ,213000000000,0.27,7880,84000000000,1250000000,1050000000,0.00001234,0,0"
"20CrMo1VTiB# ,213000000000,0.279,7880,83800000000,1250000000,1050000000,0.0000126,0,0"
"4Cr3Mo2MnSiVNbB# ,218000000000,0.29,7820,84100000000,1250000000,1050000000,0.0000103,0,0"
"4Cr5Mo2MnVSi# ,221000000000,0.29,7770,86300000000,1250000000,1050000000,0.00001,0,0"
"20CrNi4A# ,207000000000,0.29,7880,80400000000,1250000000,1050000000,0.00001211,0,0"
"3Cr2W8V ,226000000000,0.31,8350,86000000000,920000000,750000000,0.0000121,0,0"
"16MnCr5 ,211000000000,0.28,7890,82600000000,1313000000,1187000000,0.00001259,460,44"
"16Mng# ,208000000000,0.26,7850,82000000000,785000000,450000000,0.0000137,450,48"
"16Mnl# ,212000000000,0.31,7870,80700000000,785000000,450000000,0.0000128,450,48"
"16MnR# ,209000000000,0.28,7850,82000000000,785000000,450000000,0.0000126,450,48"
"19Mn5 ,202000000000,0.27,7910,79400000000,559000000,382000000,0.0000124,450,48"
"35Mn2 ,206000000000,0.3,7650,79300000000,835000000,685000000,0.0000122,450,48"
"40MnB ,209000000000,0.28,7870,81400000000,980000000,785000000,0.0000122,450,48"
"40MnBH ,209000000000,0.28,7870,81400000000,980000000,785000000,0.0000122,450,48"
